,CAGR,Volatility,Sharpe,Max Drawdown
OFSS,0.10728837621076681,0.2823782024664358,0.37994567312085425,-0.649052275207697
SRF,0.3208033660585592,0.35878454627866535,0.8941393083563681,-0.7057201929703656
IRCTC,0.5117444837790306,0.4121418593654188,1.2416707309637791,-0.5822638899561976
COLPAL,0.15875774936193854,0.22253888724394374,0.7133932919683862,-0.3161806032598511
LUPIN,0.13228513291089605,0.2875622829285566,0.4600225438596953,-0.7400953126111389
NAUKRI,0.2674629390801404,0.36018864461217975,0.7425634957707274,-0.5191609088966447
TIINDIA,0.5136049019301849,0.39864396224342125,1.2883799845852573,-0.5450070323488045
INDIANB,0.08050349369641685,0.4503815762587749,0.17874508625584212,-0.8981082375478926
HINDPETRO,0.1262856840320652,0.3857231946857559,0.327399766910436,-0.7012489180165697
BERGEPAINT,0.26004188364570946,0.31568809196048464,0.8237304170417029,-0.3762677062667349
YESBANK,-0.047160786599395155,0.5701501405633091,-0.08271643422344899,-0.9725888324873098
TORNTPOWER,0.11401600395153388,0.3725526420574145,0.3060399822207213,-0.8133899233296823
OIL,0.0776750396857151,0.32755640595406166,0.23713485150587676,-0.7872050816696909
SBICARD,0.013521102611564473,0.3219887167424855,0.04199247336476745,-0.4081963620425154
IDEA,-0.04838233050573015,0.5952822277997821,-0.0812762892058036,-0.9758691206543967
MARICO,0.18820412046341195,0.2600656576848474,0.7236792513815159,-0.3941228402068364
GODREJPROP,0.19429860002597565,0.36120421840191863,0.5379189669644888,-0.595073517660221
AUROPHARMA,0.1998903724678267,0.39178183396129723,0.5102083739992221,-0.6984407178581936
UCOBANK,-0.0021869267266988457,0.440712445906088,-0.004962253158525187,-0.9433587280556477
BANKINDIA,-0.07827614911452863,0.4425909195109252,-0.1768589134206049,-0.9455492835432046
PERSISTENT,0.3100217933642855,0.32897119502911093,0.9423979912188098,-0.5065753074860619
MUTHOOTFIN,0.19371423217812467,0.3980269702381213,0.48668619632040094,-0.6751192024273955
NMDC,-0.018029404129142668,0.36472207925302075,-0.049433267561065385,-0.8865875634814763
ALKEM,0.16431451489845972,0.2611441639896948,0.6292099826705063,-0.28171802375624055
PIIND,0.3541704180468608,0.35752691262876174,0.9906119107028282,-0.3681263684704409
LTTS,0.256282033634194,0.3623686093425175,0.7072412649075557,-0.5004901712218774
GICRE,-0.01222074316741506,0.4483179632995108,-0.02725909771152905,-0.8010348508051417
TATACOMM,0.1632626344722219,0.3528963117625478,0.46263627312170913,-0.6133651551312639
JSL,0.1382196532924902,0.5250101412406589,0.26327044457819687,-0.8920454545454544
MRF,0.23348158275920916,0.2846298978048666,0.820298867265437,-0.4193300062317702
SAIL,-0.0315096066207452,0.4220150090646763,-0.07466465870628826,-0.9205143191116311
PGHH,0.1692562241209079,0.22815799660568353,0.7418377906491999,-0.36146741364019697
SUZLON,-0.026968183418146774,0.5886175948090936,-0.04581613539244162,-0.9814942528735632
LINDEINDIA,0.30446188091399007,0.38659283316931753,0.7875517981489423,-0.5547270815409622
SUPREMEIND,0.3501630375694931,0.2991241696742274,1.170627696019521,-0.45360049237502476
CONCOR,0.0976043844497898,0.31620375017016006,0.3086756067796968,-0.5636519837550765
OBEROIRLTY,0.14375044340052168,0.3853703473254689,0.37301895280260267,-0.530420841683366
ASTRAL,0.4832341741504318,0.3621461336268209,1.33436237275527,-0.40265712825753686
IDFCFIRSTB,0.01660216527712155,0.3816424299849771,0.043501885463246515,-0.7762022194821204
RVNL,0.8601344326141711,0.5288221656904344,1.626509795577825,-0.6206896551724139
BHARATFORG,0.18774322763498863,0.35106089475134034,0.534788210370081,-0.7233651959232772
CENTRALBK,-0.052930632711721715,0.4393122438929477,-0.12048522081396833,-0.9507032042917211
JSWINFRA,1.963898864295614,0.4571935421312308,4.295552503083925,-0.178891217374738
POLICYBZR,0.05353419353027755,0.49907339778671395,0.10726717506420998,-0.7433958354915569
ASHOKLEY,0.1615369792503707,0.3961053706685222,0.40781315077283237,-0.7919057686499542
THERMAX,0.16490731690136218,0.3149849024652837,0.5235403843507628,-0.5678828081813158
PHOENIXLTD,0.2245376660986249,0.3618407401450394,0.6205428001518617,-0.4812871446163729
GMRINFRA,0.034080136181278586,0.4493962115703826,0.07583538824723958,-0.8455510204081631
TATAELXSI,0.3167782907764338,0.399464329530388,0.7930077039640554,-0.628510013988878
PATANJALI,-0.11045982535760113,0.5541084018766035,-0.1993469598791607,-0.9987947536334633
SJVN,0.13053589804306842,0.30494723234118687,0.428060609177852,-0.5207792207792215
PRESTIGE,0.1777290358213457,0.4635410447759983,0.3834159624575026,-0.7226851851851852
ACC,0.07671378613649682,0.2794426539010697,0.2745242541378654,-0.5040108035111414
NYKAA,-0.2407822520597256,0.4270922850050794,-0.5637710174438341,-0.7209520600693111
